KOMK;BYST;ALDER;KØN;TID;INDHOLD
København;Hovedstadsområdet;20 år;Mænd;2023;3559
København;Hovedstadsområdet;20 år;Kvinder;2023;4248
København;Hovedstadsområdet;25 år;Mænd;2023;8473
København;Hovedstadsområdet;25 år;Kvinder;2023;9666
København;Hovedstadsområdet;30 år;Mænd;2023;8583
København;Hovedstadsområdet;30 år;Kvinder;2023;8550
København;Hovedstadsområdet;35 år;Mænd;2023;5891
København;Hovedstadsområdet;35 år;Kvinder;2023;5625
København;Hovedstadsområdet;40 år;Mænd;2023;4365
København;Hovedstadsområdet;40 år;Kvinder;2023;4095
København;Hovedstadsområdet;45 år;Mænd;2023;3906
København;Hovedstadsområdet;45 år;Kvinder;2023;3819
København;Hovedstadsområdet;50 år;Mænd;2023;4084
København;Hovedstadsområdet;50 år;Kvinder;2023;3896
København;Hovedstadsområdet;55 år;Mænd;2023;3637
København;Hovedstadsområdet;55 år;Kvinder;2023;3558
København;Hovedstadsområdet;60 år;Mænd;2023;2928
København;Hovedstadsområdet;60 år;Kvinder;2023;2823
København;100.000 indbyggere og derover;20 år;Mænd;2023;0
København;100.000 indbyggere og derover;20 år;Kvinder;2023;0
København;100.000 indbyggere og derover;25 år;Mænd;2023;0
København;100.000 indbyggere og derover;25 år;Kvinder;2023;0
København;100.000 indbyggere og derover;30 år;Mænd;2023;0
København;100.000 indbyggere og derover;30 år;Kvinder;2023;0
København;100.000 indbyggere og derover;35 år;Mænd;2023;0
København;100.000 indbyggere og derover;35 år;Kvinder;2023;0
København;100.000 indbyggere og derover;40 år;Mænd;2023;0
København;100.000 indbyggere og derover;40 år;Kvinder;2023;0
København;100.000 indbyggere og derover;45 år;Mænd;2023;0
København;100.000 indbyggere og derover;45 år;Kvinder;2023;0
København;100.000 indbyggere og derover;50 år;Mænd;2023;0
København;100.000 indbyggere og derover;50 år;Kvinder;2023;0
København;100.000 indbyggere og derover;55 år;Mænd;2023;0
København;100.000 indbyggere og derover;55 år;Kvinder;2023;0
København;100.000 indbyggere og derover;60 år;Mænd;2023;0
København;100.000 indbyggere og derover;60 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;20 år;Mænd;2023;0
København;50.000-99.999 indbyggere;20 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;25 år;Mænd;2023;0
København;50.000-99.999 indbyggere;25 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;30 år;Mænd;2023;0
København;50.000-99.999 indbyggere;30 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;35 år;Mænd;2023;0
København;50.000-99.999 indbyggere;35 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;40 år;Mænd;2023;0
København;50.000-99.999 indbyggere;40 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;45 år;Mænd;2023;0
København;50.000-99.999 indbyggere;45 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;50 år;Mænd;2023;0
København;50.000-99.999 indbyggere;50 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;55 år;Mænd;2023;0
København;50.000-99.999 indbyggere;55 år;Kvinder;2023;0
København;50.000-99.999 indbyggere;60 år;Mænd;2023;0
København;50.000-99.999 indbyggere;60 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;20 år;Mænd;2023;0
København;20.000-49.999 indbyggere;20 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;25 år;Mænd;2023;0
København;20.000-49.999 indbyggere;25 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;30 år;Mænd;2023;0
København;20.000-49.999 indbyggere;30 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;35 år;Mænd;2023;0
København;20.000-49.999 indbyggere;35 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;40 år;Mænd;2023;0
København;20.000-49.999 indbyggere;40 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;45 år;Mænd;2023;0
København;20.000-49.999 indbyggere;45 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;50 år;Mænd;2023;0
København;20.000-49.999 indbyggere;50 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;55 år;Mænd;2023;0
København;20.000-49.999 indbyggere;55 år;Kvinder;2023;0
København;20.000-49.999 indbyggere;60 år;Mænd;2023;0
København;20.000-49.999 indbyggere;60 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;20 år;Mænd;2023;0
København;10.000-19.999 indbyggere;20 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;25 år;Mænd;2023;0
København;10.000-19.999 indbyggere;25 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;30 år;Mænd;2023;0
København;10.000-19.999 indbyggere;30 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;35 år;Mænd;2023;0
København;10.000-19.999 indbyggere;35 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;40 år;Mænd;2023;0
København;10.000-19.999 indbyggere;40 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;45 år;Mænd;2023;0
København;10.000-19.999 indbyggere;45 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;50 år;Mænd;2023;0
København;10.000-19.999 indbyggere;50 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;55 år;Mænd;2023;0
København;10.000-19.999 indbyggere;55 år;Kvinder;2023;0
København;10.000-19.999 indbyggere;60 år;Mænd;2023;0
København;10.000-19.999 indbyggere;60 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;20 år;Mænd;2023;0
København;5.000-9.999 indbyggere;20 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;25 år;Mænd;2023;0
København;5.000-9.999 indbyggere;25 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;30 år;Mænd;2023;0
København;5.000-9.999 indbyggere;30 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;35 år;Mænd;2023;0
København;5.000-9.999 indbyggere;35 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;40 år;Mænd;2023;0
København;5.000-9.999 indbyggere;40 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;45 år;Mænd;2023;0
København;5.000-9.999 indbyggere;45 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;50 år;Mænd;2023;0
København;5.000-9.999 indbyggere;50 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;55 år;Mænd;2023;0
København;5.000-9.999 indbyggere;55 år;Kvinder;2023;0
København;5.000-9.999 indbyggere;60 år;Mænd;2023;0
København;5.000-9.999 indbyggere;60 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;20 år;Mænd;2023;0
København;2.000-4.999 indbyggere;20 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;25 år;Mænd;2023;0
København;2.000-4.999 indbyggere;25 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;30 år;Mænd;2023;0
København;2.000-4.999 indbyggere;30 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;35 år;Mænd;2023;0
København;2.000-4.999 indbyggere;35 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;40 år;Mænd;2023;0
København;2.000-4.999 indbyggere;40 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;45 år;Mænd;2023;0
København;2.000-4.999 indbyggere;45 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;50 år;Mænd;2023;0
København;2.000-4.999 indbyggere;50 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;55 år;Mænd;2023;0
København;2.000-4.999 indbyggere;55 år;Kvinder;2023;0
København;2.000-4.999 indbyggere;60 år;Mænd;2023;0
København;2.000-4.999 indbyggere;60 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;20 år;Mænd;2023;0
København;1.000-1.999 indbyggere;20 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;25 år;Mænd;2023;0
København;1.000-1.999 indbyggere;25 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;30 år;Mænd;2023;0
København;1.000-1.999 indbyggere;30 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;35 år;Mænd;2023;0
København;1.000-1.999 indbyggere;35 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;40 år;Mænd;2023;0
København;1.000-1.999 indbyggere;40 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;45 år;Mænd;2023;0
København;1.000-1.999 indbyggere;45 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;50 år;Mænd;2023;0
København;1.000-1.999 indbyggere;50 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;55 år;Mænd;2023;0
København;1.000-1.999 indbyggere;55 år;Kvinder;2023;0
København;1.000-1.999 indbyggere;60 år;Mænd;2023;0
København;1.000-1.999 indbyggere;60 år;Kvinder;2023;0
København;500-999 indbyggere;20 år;Mænd;2023;0
København;500-999 indbyggere;20 år;Kvinder;2023;0
København;500-999 indbyggere;25 år;Mænd;2023;0
København;500-999 indbyggere;25 år;Kvinder;2023;0
København;500-999 indbyggere;30 år;Mænd;2023;0
København;500-999 indbyggere;30 år;Kvinder;2023;0
København;500-999 indbyggere;35 år;Mænd;2023;0
København;500-999 indbyggere;35 år;Kvinder;2023;0
København;500-999 indbyggere;40 år;Mænd;2023;0
København;500-999 indbyggere;40 år;Kvinder;2023;0
København;500-999 indbyggere;45 år;Mænd;2023;0
København;500-999 indbyggere;45 år;Kvinder;2023;0
København;500-999 indbyggere;50 år;Mænd;2023;0
København;500-999 indbyggere;50 år;Kvinder;2023;0
København;500-999 indbyggere;55 år;Mænd;2023;0
København;500-999 indbyggere;55 år;Kvinder;2023;0
København;500-999 indbyggere;60 år;Mænd;2023;0
København;500-999 indbyggere;60 år;Kvinder;2023;0
København;250-499 indbyggere;20 år;Mænd;2023;0
København;250-499 indbyggere;20 år;Kvinder;2023;0
København;250-499 indbyggere;25 år;Mænd;2023;0
København;250-499 indbyggere;25 år;Kvinder;2023;0
København;250-499 indbyggere;30 år;Mænd;2023;0
København;250-499 indbyggere;30 år;Kvinder;2023;0
København;250-499 indbyggere;35 år;Mænd;2023;0
København;250-499 indbyggere;35 år;Kvinder;2023;0
København;250-499 indbyggere;40 år;Mænd;2023;0
København;250-499 indbyggere;40 år;Kvinder;2023;0
København;250-499 indbyggere;45 år;Mænd;2023;0
København;250-499 indbyggere;45 år;Kvinder;2023;0
København;250-499 indbyggere;50 år;Mænd;2023;0
København;250-499 indbyggere;50 år;Kvinder;2023;0
København;250-499 indbyggere;55 år;Mænd;2023;0
København;250-499 indbyggere;55 år;Kvinder;2023;0
København;250-499 indbyggere;60 år;Mænd;2023;0
København;250-499 indbyggere;60 år;Kvinder;2023;0
København;200-249 indbyggere;20 år;Mænd;2023;0
København;200-249 indbyggere;20 år;Kvinder;2023;0
København;200-249 indbyggere;25 år;Mænd;2023;0
København;200-249 indbyggere;25 år;Kvinder;2023;0
København;200-249 indbyggere;30 år;Mænd;2023;0
København;200-249 indbyggere;30 år;Kvinder;2023;0
København;200-249 indbyggere;35 år;Mænd;2023;0
København;200-249 indbyggere;35 år;Kvinder;2023;0
København;200-249 indbyggere;40 år;Mænd;2023;0
København;200-249 indbyggere;40 år;Kvinder;2023;0
København;200-249 indbyggere;45 år;Mænd;2023;0
København;200-249 indbyggere;45 år;Kvinder;2023;0
København;200-249 indbyggere;50 år;Mænd;2023;0
København;200-249 indbyggere;50 år;Kvinder;2023;0
København;200-249 indbyggere;55 år;Mænd;2023;0
København;200-249 indbyggere;55 år;Kvinder;2023;0
København;200-249 indbyggere;60 år;Mænd;2023;0
København;200-249 indbyggere;60 år;Kvinder;2023;0
København;Landdistrikter;20 år;Mænd;2023;0
København;Landdistrikter;20 år;Kvinder;2023;0
København;Landdistrikter;25 år;Mænd;2023;0
København;Landdistrikter;25 år;Kvinder;2023;0
København;Landdistrikter;30 år;Mænd;2023;0
København;Landdistrikter;30 år;Kvinder;2023;0
København;Landdistrikter;35 år;Mænd;2023;0
København;Landdistrikter;35 år;Kvinder;2023;0
København;Landdistrikter;40 år;Mænd;2023;0
København;Landdistrikter;40 år;Kvinder;2023;0
København;Landdistrikter;45 år;Mænd;2023;0
København;Landdistrikter;45 år;Kvinder;2023;0
København;Landdistrikter;50 år;Mænd;2023;0
København;Landdistrikter;50 år;Kvinder;2023;0
København;Landdistrikter;55 år;Mænd;2023;0
København;Landdistrikter;55 år;Kvinder;2023;0
København;Landdistrikter;60 år;Mænd;2023;0
København;Landdistrikter;60 år;Kvinder;2023;0
København;Uden fast bopæl;20 år;Mænd;2023;0
København;Uden fast bopæl;20 år;Kvinder;2023;0
København;Uden fast bopæl;25 år;Mænd;2023;0
København;Uden fast bopæl;25 år;Kvinder;2023;0
København;Uden fast bopæl;30 år;Mænd;2023;0
København;Uden fast bopæl;30 år;Kvinder;2023;0
København;Uden fast bopæl;35 år;Mænd;2023;0
København;Uden fast bopæl;35 år;Kvinder;2023;0
København;Uden fast bopæl;40 år;Mænd;2023;0
København;Uden fast bopæl;40 år;Kvinder;2023;0
København;Uden fast bopæl;45 år;Mænd;2023;0
København;Uden fast bopæl;45 år;Kvinder;2023;0
København;Uden fast bopæl;50 år;Mænd;2023;0
København;Uden fast bopæl;50 år;Kvinder;2023;0
København;Uden fast bopæl;55 år;Mænd;2023;0
København;Uden fast bopæl;55 år;Kvinder;2023;0
København;Uden fast bopæl;60 år;Mænd;2023;0
København;Uden fast bopæl;60 år;Kvinder;2023;0
Frederiksberg;Hovedstadsområdet;20 år;Mænd;2023;547
Frederiksberg;Hovedstadsområdet;20 år;Kvinder;2023;632
Frederiksberg;Hovedstadsområdet;25 år;Mænd;2023;1078
Frederiksberg;Hovedstadsområdet;25 år;Kvinder;2023;1207
Frederiksberg;Hovedstadsområdet;30 år;Mænd;2023;1018
Frederiksberg;Hovedstadsområdet;30 år;Kvinder;2023;1048
Frederiksberg;Hovedstadsområdet;35 år;Mænd;2023;788
Frederiksberg;Hovedstadsområdet;35 år;Kvinder;2023;654
Frederiksberg;Hovedstadsområdet;40 år;Mænd;2023;559
Frederiksberg;Hovedstadsområdet;40 år;Kvinder;2023;604
Frederiksberg;Hovedstadsområdet;45 år;Mænd;2023;641
Frederiksberg;Hovedstadsområdet;45 år;Kvinder;2023;677
Frederiksberg;Hovedstadsområdet;50 år;Mænd;2023;641
Frederiksberg;Hovedstadsområdet;50 år;Kvinder;2023;674
Frederiksberg;Hovedstadsområdet;55 år;Mænd;2023;631
Frederiksberg;Hovedstadsområdet;55 år;Kvinder;2023;685
Frederiksberg;Hovedstadsområdet;60 år;Mænd;2023;522
Frederiksberg;Hovedstadsområdet;60 år;Kvinder;2023;543
Frederiksberg;100.000 indbyggere og derover;20 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;20 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;25 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;25 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;30 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;30 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;35 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;35 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;40 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;40 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;45 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;45 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;50 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;50 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;55 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;55 år;Kvinder;2023;0
Frederiksberg;100.000 indbyggere og derover;60 år;Mænd;2023;0
Frederiksberg;100.000 indbyggere og derover;60 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;20 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;25 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;30 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;35 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;40 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;45 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;50 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;55 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;50.000-99.999 indbyggere;60 år;Mænd;2023;0
Frederiksberg;50.000-99.999 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;20 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;25 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;30 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;35 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;40 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;45 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;50 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;55 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;20.000-49.999 indbyggere;60 år;Mænd;2023;0
Frederiksberg;20.000-49.999 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;20 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;25 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;30 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;35 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;40 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;45 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;50 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;55 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;10.000-19.999 indbyggere;60 år;Mænd;2023;0
Frederiksberg;10.000-19.999 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;20 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;25 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;30 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;35 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;40 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;45 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;50 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;55 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;5.000-9.999 indbyggere;60 år;Mænd;2023;0
Frederiksberg;5.000-9.999 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;20 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;25 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;30 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;35 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;40 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;45 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;50 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;55 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;2.000-4.999 indbyggere;60 år;Mænd;2023;0
Frederiksberg;2.000-4.999 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;20 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;25 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;30 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;35 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;40 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;45 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;50 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;55 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;1.000-1.999 indbyggere;60 år;Mænd;2023;0
Frederiksberg;1.000-1.999 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;20 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;25 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;30 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;35 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;40 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;45 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;50 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;55 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;500-999 indbyggere;60 år;Mænd;2023;0
Frederiksberg;500-999 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;20 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;25 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;30 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;35 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;40 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;45 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;50 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;55 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;250-499 indbyggere;60 år;Mænd;2023;0
Frederiksberg;250-499 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;20 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;20 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;25 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;25 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;30 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;30 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;35 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;35 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;40 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;40 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;45 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;45 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;50 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;50 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;55 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;55 år;Kvinder;2023;0
Frederiksberg;200-249 indbyggere;60 år;Mænd;2023;0
Frederiksberg;200-249 indbyggere;60 år;Kvinder;2023;0
Frederiksberg;Landdistrikter;20 år;Mænd;2023;0
Frederiksberg;Landdistrikter;20 år;Kvinder;2023;0
Frederiksberg;Landdistrikter;25 år;Mænd;2023;0
Frederiksberg;Landdistrikter;25 år;Kvinder;2023;0
Frederiksberg;Landdistrikter;30 år;Mænd;2023;0
Frederiksberg;Landdistrikter;30 år;Kvinder;2023;0
Frederiksberg;Landdistrikter;35 år;Mænd;2023;0
Frederiksberg;Landdistrikter;35 år;Kvinder;2023;0
Frederiksberg;Landdistrikter;40 år;Mænd;2023;0
Frederiksberg;Landdistrikter;40 år;Kvinder;2023;0
Frederiksberg;Landdistrikter;45 år;Mænd;2023;0
